先生はジョンを叱った。|せんせいはジョンをしかった。
ジョンは先生に叱られた。|ジョンはせんせいにしかられた。
ビルはマーさをぶった。|ビルはマーさをぶった。
マーサはビルにぶたれた。|マーサはビルにぶたれた。
私はメアリーがトムに会った事実を知っている。|わたしはメアリーがトムにあったじじつをしっている。
私はジョンに行って欲しい。|わたしはジョンにいってほしい。
この辞書は使いやすい。|このじしょはつかいやすい。
私はすしが食べたい。|わたしはすしがたべたい。
ベスは大学を出たらしい。|ベスはだいがくをでたらしい。
花子は淋しいようだ。|はなこはさびしいようだ。
このお菓子はおいしそうだ。|このおかしはおいしそうだ。
ビルは今手紙を書いている。|ビルはいまてがみをかいている。
窓が開けてある。|まどがあけてある。
僕は宿題をしてしまった。|ぼくはしゅくだいをしてしまった。
私は友達にお金を貸してあげた。|わたしはともだちにおかねをかしてあげた。
このコンピューターは高すぎる。|このコンピューターはたかすぎる。
ジョージはスポーツカーを欲しがっている。|ジョージはスポーツカーをほしがっている。
あっ！雨が降ってきた！|あっあめがふってきた
僕は泳いだがスミスさんは泳がなかった。|ぼくはおよいだがスミスさんはおよがなかった。
吉田さんは東京に行って鈴木さんに会った。|よしださんはとうきょうにいってすずきさんにあった。
ジョンは来たが、ビルは来なかった。|ジョンはきたが、ビルはこなかった。
走っていますが、ちっともやせません。|はしっていますが、ちっともやせません。
山口先生は学生をよくほめる。|やまぐちせんせいはがくせいをよくほめる。
かおりは一郎をだました。|かおりはいちろうをだました。
僕は本を書いた。|ぼくはほんをかいた。
一郎はみどりにスカーフをやった。|いちろうはみどりにスカーフをやった。
私はドアを開けておいた。|わたしはドアをあけておいた。
花子は一郎の大学入学を喜んだ。|はなこはいちろうのだいがくにゅうがくをよろこんだ。
トムはその時公園を歩いていた。|トムはそのときこうえんをあるいていた。
東京からは田中さんが来た。|とうきょうからはたなかさんがきた。
私はミラーさんとも話した。|わたしはミラーさんともはなした。
山田は頭が痛いと言った。|やまだはあたまがいたいといった。
山田は頭が痛いので学校を休んだ。|やまだはあたまがいたいのでがっこうをやすんだ。
山田は外国に行くのが大好きだ。|やまだはがいこくにいくのがだいすきだ。
山田は空手を習ったことがある。|やまだはからてをならったことがある。
ーどんな辞書が欲しいんですか。<br />ー小さいのが欲しいんです。|ーどんなじしょがほしいんですか。<br/>ーちいさいのがほしいんです。
鈴木さんは走った。|すずきさんははしった。
日本語を読むのは難しい。|にほんごをよむのはむずかしい。
日本語を読むことは難しい。|にほんごをよむことはむずかしい。
私はビルにぶたれた。|わたしはビルにぶたれた。
太郎は秋子に泣かれた。|たろうはあきこになかれた。
松本さんはよく映画を見る。|まつもとさんはよくえいがをみる。
私の家はスミスさんのより新しい。|わたしのいえはスミスさんのよりあたらしい。
ジョンは日本語の学生です。|ジョンはにほんごのがくせいです。
ジョンが林檎を食べた。|ジョンがりんごをべたたべた。
メアリーが先生にほめられた。|メアリーがせんせいにほめられた。
ナンシーはきれいだ。|ナンシーはきれいだ。
ドアが開いた。|ドアがあいた。
机が一つある。|つくえがひとつある。
空が青い。|そらがあおい。
中山さんは頭が痛かったので学校を休んだ。|なかやまさんはあたまがいたかったのでがっこうをやすんだ。
私は車がある。|わたしはくるまがある。
